District;Population;District Size;Residential and traffic surface;Agricultural surface;Employed;Unemployed;"Non-professional
persons";Private Households;Persons/Household;Schools;Grades;Puplis;Puplis/K;Residential buildings;Flats;Total living space;Living space per capita;Hotel beds;Tourist guests;Overnight stays;Social Help Recipients;Children in daycare;% Children in daycare under 3;% Children in daycare 3- under 6;Severely handicapped;Severely handicapped per 1000 inhabitants;Companies;Taxable Revenues;Bankruptcies;Street traffic accidents;Housing allowance housholds;Senior Members of Sport Clubs ;Junior Members of Sport Clubs;Sport Clubs
01 Mitte;365.30;3 940;3 796;0.00;185.40;21.10;158.90;220.10;1.68;72.00;1 338;32 193;85.20;13 230;196 533;13 242;36.60;56 107;5 421 582;12 865 603;2 229;18 209;44.70;103.20;28 504;78.70;25 674;82 678 046;638.00;20 038;2185.00;13.70;42.30;176.00
02 Friedrichshain-Kreuzberg;275.20;2 040;1 907;0.00;164.30;10.70;100.20;169.70;1.64;63.00;1 049;24 884;87.60;9 661;152 006;10 457;38.50;17 516;1 610 860;3 988 440;1 408;14 231;43.70;103.60;17 100;62.90;19 292;18 870 489;379.00;12 030;2216.00;8.60;20.30;140.00
03 Pankow;388.20;10 322;6 904;1 707;225.30;9.40;153.50;222.80;1.77;92.00;1 571;38 113;94.70;36 993;215 686;15 743;40.20;6 268;476 027;1 381 727;1 717;21 890;50.70;95.10;31 096;79.50;21 437;8 500 262;407.00;11 988;3161.00;8.10;25.20;157.00
04 Charlottenburg-Wilmersdorf;313.30;6 469;4 555;8.00;151.80;10.30;151.20;184.50;1.72;76.00;1 270;31 370;92.60;17 928;184 748;14 518;46.20;29 886;2 696 118;6 461 226;1 341;11 200;36.70;91.70;30 900;98.20;27 771;27 062 740;578.00;19 133;1654.00;20.10;52.00;175.00
05 Spandau;233.50;9 188;5 813;734.00;101.30;7.60;124.60;120.20;1.95;58.00;1 009;24 630;101.70;27 963;119 009;8 820;37.50;2 796;261 805;586 401;1 522;9 373;34.00;80.70;27 990;118.90;7 199;3 765 050;463.00;8 420;1951.00;20.50;28.40;180.00
06 Steglitz-Zehlendorf;288.40;10 256;6 637;25.00;132.30;6.60;149.50;153.40;1.90;77.00;1 334;35 014;114.00;40 621;157 517;13 441;46.30;3 048;201 544;481 872;1 165;11 531;41.40;89.60;31 197;107.50;13 840;6 596 601;331.00;11 221;1281.00;16.30;42.20;182.00
07 Tempelhof-Schoneberg;339.60;5 305;5 157;50.00;169.50;14.40;155.70;188.10;1.82;66.00;1 223;30 455;87.30;28 586;181 462;13 604;40.20;8 578;796 219;1 923 831;1 657;14 279;43.30;94.50;35 828;105.90;17 827;14 546 202;484.00;14 756;1347.00;9.20;23.40;138.00
08 Neukolln;321.50;4 493;4 354;52.00;149.20;19.30;153.10;174.00;1.86;72.00;1 285;29 084;88.30;27 982;163 480;11 411;35.90;4 829;392 775;857 192;1 870;12 634;31.80;82.50;33 574;105.60;11 332;6 656 373;565.00;11 412;2061.00;7.40;22.00;97.00
09 Treptow-Kopenick;252.60;16 773;7 497;118.00;133.70;6.90;112.00;139.70;1.81;60.00;965.00;23 865;90.10;37 405;140 823;10 278;40.00;4 178;308 413;696 047;1 225;11 768;45.00;91.10;25 205;98.10;10 519;9 503 577;402.00;10 056;2000.00;14.70;35.80;218.00
10 Marzahn-Hellersdorf;255.40;6 182;5 815;74.00;126.80;8.70;119.90;136.20;1.88;55.00;1 049;24 756;92.80;31 488;136 488;9 751;37.70;1 332;92 433;239 124;1 709;11 769;40.80;82.70;28 004;108.30;7 303;4 190 165;486.00;6 665;2545.00;2.90;14.30;77.00
11 Lichtenberg;274.20;5 212;4 407;575.00;143.00;9.00;122.20;158.60;1.74;58.00;1 170;26 981;94.30;17 123;153 395;10 079;35.90;5 523;479 695;1 146 599;4 197;13 881;46.00;91.80;27 624;98.30;7 749;4 133 849;443.00;7 773;2260.00;11.00;19.50;114.00
12 Reinickendorf;251.60;8 932;5 976;288.00;108.80;10.00;132.80;135.80;1.86;68.00;1 189;29 904;113.40;35 701;131 149;10 137;39.40;2 693;228 876;522 028;1 470;9 762;30.60;82.60;31 966;124.30;9 292;13 211 350;558.00;9 950;1607.00;13.00;32.00;173.00
Berlin;3 558.9;89 112;62 818;3 633;1 791.2;133.90;1 633.8;2 002.9;1.80;817.00;14 452;351 249;94.60;324 681;1 932 296;141 481;39.60;142 754;12 966 347;31 150 090;21 510;160 527;40.30;91.10;348 988;97.60;179 663;199 785 779;5 734;143 442;24268.00;12.50;29.70;1827.00
