"","stop_id","stop_name","stop_lat","stop_lon","zip"
"1","000008012713","Rangsdorf, Bahnhof",52.294125,13.431112,"15834"
"2","000008010205","Leipzig, Hauptbahnhof",51.344817,12.381321,"4103"
"3","000008010327","Senftenberg, Bahnhof",51.52679,14.003977,"1968"
"4","000008012393","Mühlanger, Bahnhof",51.855704,12.748198,"6895"
"5","000008011756","Großräschen, Bahnhof",51.591486,14.014993,"1983"
"6","000008011471","Eisenhüttenstadt, Bahnhof",52.147961,14.65872,"15890"
"7","000008011238","Borkheide, Bahnhof",52.23115,12.854964,"14822"
"8","000008012666","S Potsdam Hauptbahnhof",52.390935,13.067187,"14467"
"9","000008012428","Netzeband, Bahnhof",52.995291,12.628685,"16818"
"10","000008010279","Potsdam, Pirschheide Bhf",52.373909,13.010836,"14471"
"11","000008010318","Schönebeck(Elbe)",52.018794,11.733157,"39218"
"12","000008010036","S+U Lichtenberg Bhf (Berlin)",52.510754,13.498228,"10365"
"13","000008010031","Bad Belzig, Bahnhof",52.136396,12.595026,"14806"
"14","000008012381","Möser, Bahnhof",52.219128,11.784784,"39291"
"15","000008011740","Großbeeren, Bahnhof",52.350025,13.284362,"14979"
"16","000008011749","Großenhain, Cottbuser Bahnhof",51.291668,13.523994,"1558"
"17","000008011460","Eichstedt (Altmark), Bahnhof",52.674806,11.854882,"39596"
"18","000008012656","Pönitz (bei Leipzig), Bahnhof",51.408476,12.514348,"4425"
"19","000008012650","Plessa, Bahnhof",51.470851,13.616893,"4928"
"20","000008011188","Biesenthal, Bahnhof",52.755706,13.674484,"16359"
"21","000008012413","Nassenheide, Bahnhof",52.817405,13.238075,"16775"
"22","000008012418","Nechlin, Bahnhof",53.442752,13.903114,"17309"
"23","000008010268","Pasewalk, Bahnhof",53.51501,13.988811,"17309"
"24","000008010302","Roßlau, Bahnhof",51.883983,12.236938,"6862"
"25","000008010308","Ruhland, Bahnhof",51.455449,13.869697,"1945"
"26","000008012096","Kremmen, Bahnhof",52.753402,13.039681,"16766"
"27","000008011572","Fretzdorf, Bahnhof",53.069123,12.540218,"16909"
