old;new
District;District
Nr;Nr
Population;Population
District.Size;Size
Residential.and.traffic.surface;RsSurface
Agricultural.surface;AgrSurface
Employment;Employment
Non.Professional.Persons;NonProf
Private.Hauseholds;Hausehold
Persons.Household;PplHausehold
Schools;Schools
Grades;Grades
Pupils;Pupils
Residential.buildings;Buildings
Flats;Flats
Total.living.space;Space
Living.space.per.capita;SpacePC
Hotel.beds;Hotel
Tourist.guests;Tourists
Overnight.stays;Stays
Social.Help.Recipients;SocHelp
Children.in.daycare;Daycare
X..Children.in.daycare.under.3;Child3
X..Children.in.daycare.3...under.6;Child6
Severely.handicapped;Disabled
Severely.handicapped.per.1000.inhabitants;Disabled1000
Companies;Company
Taxable.Revenues;Revenue
Bankruptcies;Bankruptcy
Street.traffic.accidents..10K;Accidents
Housing.allowance.households;Allowance
Senior.Members.of.Sport.Clubs;SenSport
Junior.Members.of.Sport.Clubs;JunSport
Sports.Club;Sport
Crimie.frequency;Crime
Parking.Spaces;Parking
Bus.Stop.Number;Transport
Total.number.of.trees.per.km.of.the.road;Trees
Green.Space.in.ha;GreenSp
Nr.of.charging.stations;Charging
Nr.of.restaurants;Restaurants
cyclingLength;Cycle
Nr.of.doctors.per.10.000.people;Doctors
Nr.of.street.crossings;Crossings
PM10;PM10
PM25;PM25
