"";"NA";"Nr";"Population";"Size";"RsSurface";"AgrSurface";"Employment";"NonProf";"Hausehold";"PplHausehold";"Schools";"Grades";"Pupils";"Buildings";"Flats";"Space";"SpacePC";"Hotel";"Tourists";"Stays";"SocHelp";"NA";"NA";"Child6";"Disabled";"Disabled1000";"Company";"Revenue";"Bankruptcy";"Accidents";"Allowance";"SenSport";"JunSport";"Sport";"Crime";"Parking";"Transport";"Trees";"GreenSp";"NA";"Charging";"Cycle";"Doctors";"Crossings";"District";"PM10";"PM25"
"1";"Charlottenburg-Wilmersdorf";4;313,3;6469;4555;8;151,8;151,2;184,5;1,72;76;1270;31370;17928;184748;14518;46,2;29886;2696118;6461226;1341;11200;36,7;91,7;30900;98,2;28170;24746798;578;55;1654;24325;19230;175;15767;20500;882;106;744;"Charlottenburg-Wilmersdorf";31;169577,9;86,7;35;"Charlottenburg-Wilmersdorf";20,71220517;14,15826439
"2";"Friedrichshain-Kreuzberg";2;275,2;2040;1907;0;164,3;100,2;169,7;1,64;63;1049;24884;9661;152006;10457;38,5;17516;1610860;3988440;1408;14231;43,7;103,6;17100;62,9;19646;17736203;379;53;2216;9259;3182;140;19460;4090;562;92;291;"Friedrichshain-Kreuzberg";13;90134,7;66,6;39;"Friedrichshain-Kreuzberg";22,62419888;15,49608979
"3";"Lichtenberg";11;274,2;5212;4407;575;143;122,2;158,6;1,74;58;1170;26981;17123;153395;10079;35,9;5523;479695;1146599;4197;13881;46;91,8;27624;98,3;7847;4613302;443;24;2260;9286;7652;114;9663;13479,14286;690;92;939;"Lichtenberg";12;100257;51,8;22;"Lichtenberg";21,32108856;14,71063971
"4";"Marzahn-Hellersdorf";10;255,4;6182;5815;74;126,8;119,9;136,2;1,88;55;1049;24756;31488;136488;9751;37,7;1332;92433;239124;1709;11769;40,8;82,7;28004;108,3;7328;4464680;486;23;2545;6830;1996;77;9385;13479,14286;834;80;1210;"Marzahn-Hellersdorf";1;118019,1;61,8;39;"Marzahn-Hellersdorf";20,71135848;14,50014849
"5";"Mitte";1;365,3;3940;3796;0;185,4;158,9;220,1;1,68;72;1338;32193;13230;196533;13242;36,6;56107;5421582;12865603;2229;18209;44,7;103,2;28504;78,7;26270;89294180;638;67;2185;25867;8460;176;25864;26488;962;75;791;"Mitte";33;169677,4;66,7;33;"Mitte";22,96293059;15,19718705
"6";"Neukolln";8;321,5;4493;4354;52;149,2;153,1;174;1,86;72;1285;29084;27982;163480;11411;35,9;4829;392775;857192;1870;12634;31,8;82,5;33574;105,6;11726;6845607;565;33;2061;12349;5256;97;12937;13479,14286;804;60;908;"Neukoelln";2;104444;59,5;25;"Neukoelln";20,52611759;14,62990885
"7";"Pankow";3;388,2;10322;6904;1707;225,3;153,5;222,8;1,77;92;1571;38113;36993;215686;15743;40,2;6268;476027;1381727;1717;21890;50,7;95,1;31096;79,5;21709;9408273;407;36;3161;18366;5937;157;9718;26000;938;72;1341;"Pankow";8;161242,6;65,3;54;"Pankow";21,42465632;14,32252862
"8";"Reinickendorf";12;251,6;8932;5976;288;108,8;132,8;135,8;1,86;68;1189;29904;35701;131149;10137;39,4;2693;228876;522028;1470;9762;30,6;82,6;31966;124,3;9398;13848127;558;36;1607;15032;9727;173;11456;13479,14286;962;93;998;"Reinickendorf";5;140794,4;64,2;30;"Reinickendorf";18,93098871;13,07093414
"9";"Spandau";5;233,5;9188;5813;734;101,3;124,6;120,2;1,95;58;1009;24630;27963;119009;8820;37,5;2796;261805;586401;1522;9373;34;80,7;27990;118,9;7315;4053627;463;37;1951;12571;13137;180;10888;2726;921;58;1009;"Spandau";15;165372,5;63,2;22;"Spandau";18,77835004;13,05031627
"10";"Steglitz-Zehlendorf";6;288,4;10256;6637;25;132,3;149,5;153,4;1,9;77;1334;35014;40621;157517;13441;46,3;3048;201544;481872;1165;11531;41,4;89,6;31197;107,5;13931;6835916;331;33;1281;21491;15314;182;7664;7400;1222;97;913;"Steglitz-Zehlendorf";4;194599,2;67,3;31;"Steglitz-Zehlendorf";19,38190702;13,71964589
"11";"Tempelhof-Schoneberg";7;339,6;5305;5157;50;169,5;155,7;188,1;1,82;66;1223;30455;28586;181462;13604;40,2;8578;796219;1923831;1657;14279;43,3;94,5;35828;105,9;17999;15638364;484;40;1347;13055;8192;138;11385;7150;945;88;651;"Tempelhof-Schoeneberg";14;148588,8;73,5;19;"Tempelhof-Schoeneberg";21,18259679;14,75272906
"12";"Treptow-Kopenick";9;252,6;16773;7497;118;133,7;112;139,7;1,81;60;965;23865;37405;140823;10278;40;4178;308413;696047;1225;11768;45;91,1;25205;98,1;10604;8419382;402;42;2000;15197;10473;218;9239;13479,14286;1294;64;1030;"Treptow-Koepenick";3;202059,2;53,2;32;"Treptow-Koepenick";19,4451868;13,85219938
