"","c.zips5..zips6..zips7..zips8..zips9..zips10."
"1","15320"
"2","15320"
"3","15320"
"4","15320"
"5","16259"
"6","16259"
"7","16259"
"8","16259"
"9","16259"
"10","16259"
"11","Postcode Not Found"
"12","16248"
"13","16248"
"14","15324"
"15","15324"
"16","15320"
"17","Postcode Not Found"
"18","Postcode Not Found"
"19","15320"
"20","15320"
"21","15320"
"22","15320"
"23","15320"
"24","15320"
"25","15324"
"26","15324"
"27","15320"
"28","15324"
"29","15320"
"30","15320"
"31","15320"
"32","15320"
"33","Postcode Not Found"
"34","Postcode Not Found"
"35","16269"
"36","16269"
"37","16269"
"38","16269"
"39","16269"
"40","16269"
"41","16269"
"42","16269"
"43","16269"
"44","15345"
"45","15345"
"46","15345"
"47","15345"
"48","15345"
"49","15345"
"50","15345"
"51","15345"
"52","15345"
"53","15345"
"54","15345"
"55","15345"
"56","15345"
"57","16269"
"58","16269"
"59","15377"
"60","15377"
"61","15377"
"62","15377"
"63","15377"
"64","15377"
"65","15377"
"66","15377"
"67","15344"
"68","15344"
"69","15344"
"70","15344"
"71","15344"
"72","15344"
"73","15344"
"74","15344"
"75","15344"
"76","15344"
"77","15344"
"78","15344"
"79","15344"
"80","15344"
"81","15344"
"82","16269"
"83","16269"
"84","16269"
"85","16269"
"86","15345"
"87","15344"
"88","15344"
"89","16259"
"90","16259"
"91","16259"
"92","16259"
"93","16259"
"94","16259"
"95","16259"
"96","16259"
"97","16259"
"98","16259"
"99","16356"
"100","16356"
"101","16356"
"102","16356"
"103","16259"
"104","16259"
"105","16356"
"106","16356"
"107","16356"
"108","16356"
"109","16356"
"110","16356"
"111","15345"
"112","15345"
"113","15345"
"114","16269"
"115","15377"
"116","16321"
"117","16321"
"118","16321"
"119","16321"
"120","16321"
"121","16321"
"122","16321"
"123","16321"
"124","16321"
"125","16321"
"126","16321"
"127","16321"
"128","16321"
"129","16321"
"130","16321"
"131","16321"
"132","16321"
"133","16321"
"134","16321"
"135","16321"
"136","16321"
"137","16321"
"138","16321"
"139","16321"
"140","16321"
"141","16321"
"142","16321"
"143","16321"
"144","16321"
"145","16321"
"146","16321"
"147","16321"
"148","16321"
"149","16321"
"150","16321"
"151","16321"
"152","16321"
"153","16321"
"154","16321"
"155","16321"
"156","16321"
"157","16321"
"158","16321"
"159","16321"
"160","16321"
"161","16321"
"162","16321"
"163","16321"
"164","16321"
"165","16321"
"166","16341"
"167","16341"
"168","16341"
"169","16341"
"170","16321"
"171","16321"
"172","16321"
"173","16321"
"174","16321"
"175","16321"
"176","16321"
"177","16321"
"178","16321"
"179","16321"
"180","16321"
"181","16321"
"182","16321"
"183","16321"
"184","16321"
"185","16321"
"186","16321"
"187","16321"
"188","16321"
"189","16321"
"190","16321"
"191","16321"
"192","16321"
"193","16321"
"194","16321"
"195","16321"
"196","16321"
"197","16321"
"198","16321"
"199","16321"
"200","16321"
"201","16321"
"202","16321"
"203","16321"
"204","16321"
"205","16321"
"206","16321"
"207","16321"
"208","16321"
"209","16321"
"210","16321"
"211","16321"
"212","Postcode Not Found"
"213","Postcode Not Found"
"214","16348"
"215","16348"
"216","16348"
"217","16348"
"218","16348"
"219","16348"
"220","16348"
"221","16348"
"222","16348"
"223","16348"
"224","16348"
"225","16348"
"226","16348"
"227","16348"
"228","16348"
"229","16348"
"230","16348"
"231","16348"
"232","16348"
"233","16348"
"234","16348"
"235","16348"
"236","16348"
"237","16348"
"238","16348"
"239","16348"
"240","16348"
"241","16348"
"242","16348"
"243","16348"
"244","16348"
"245","16348"
"246","16348"
"247","16244"
"248","16244"
"249","16244"
"250","16244"
"251","16244"
"252","16244"
"253","16244"
"254","16244"
"255","16244"
"256","16244"
"257","16244"
"258","16244"
"259","16244"
"260","16244"
"261","16244"
"262","16244"
"263","16244"
"264","16244"
"265","16244"
"266","16348"
"267","16348"
"268","16348"
"269","16348"
"270","16348"
"271","16348"
"272","16348"
"273","16348"
"274","16348"
"275","16348"
"276","16348"
"277","16348"
"278","16348"
"279","16348"
"280","16348"
"281","16348"
"282","16348"
"283","16348"
"284","16348"
"285","16348"
"286","16348"
"287","16348"
"288","16348"
"289","16348"
"290","16348"
"291","16348"
"292","16348"
"293","16348"
"294","16348"
"295","16348"
"296","16348"
"297","16348"
"298","16348"
"299","16348"
"300","16348"
"301","16348"
"302","16321"
"303","16321"
"304","16321"
"305","16321"
"306","16321"
"307","16321"
"308","16359"
"309","16359"
"310","16321"
"311","16321"
"312","16321"
"313","16321"
"314","16321"
"315","16321"
"316","16321"
"317","16359"
"318","16359"
"319","16359"
"320","16359"
"321","16359"
"322","16359"
"323","16359"
"324","16359"
"325","16359"
"326","16359"
"327","16359"
"328","16359"
"329","16359"
"330","16359"
"331","16359"
"332","16359"
"333","16348"
"334","16348"
"335","16359"
"336","16359"
"337","16359"
"338","16348"
"339","16348"
"340","16348"
"341","16348"
"342","16348"
"343","16348"
"344","16348"
"345","16348"
"346","16348"
"347","16348"
"348","16348"
"349","16348"
"350","16348"
"351","16348"
"352","16348"
"353","16348"
"354","16348"
"355","16348"
"356","16348"
"357","16348"
"358","16348"
"359","16348"
"360","16348"
"361","13125"
"362","16348"
"363","16348"
"364","16348"
"365","13125"
"366","13125"
"367","13125"
"368","13125"
"369","16359"
"370","16359"
"371","16356"
"372","16356"
"373","16356"
"374","16356"
"375","16356"
"376","16356"
"377","16356"
"378","16356"
"379","16356"
"380","16356"
"381","16356"
"382","16356"
"383","13059"
"384","16356"
"385","12689"
"386","12689"
"387","12689"
"388","13057"
"389","12689"
"390","12689"
"391","12689"
"392","12689"
"393","16356"
"394","16356"
"395","16356"
"396","16356"
"397","12689"
"398","16356"
"399","16356"
"400","16356"
"401","16356"
"402","16356"
"403","13059"
"404","16356"
"405","16356"
"406","16321"
"407","16321"
"408","16321"
"409","16321"
"410","16321"
"411","16321"
"412","16356"
"413","16356"
"414","16356"
"415","16356"
"416","16356"
"417","16356"
"418","16356"
"419","16356"
"420","16356"
"421","16356"
"422","16356"
"423","16356"
"424","16356"
"425","16356"
"426","16356"
"427","16356"
"428","16356"
"429","16356"
"430","16356"
"431","16356"
"432","16356"
"433","16356"
"434","Postcode Not Found"
"435","Postcode Not Found"
"436","16356"
"437","16356"
"438","16356"
"439","16356"
"440","16356"
"441","16356"
"442","16356"
"443","16356"
"444","16321"
"445","16321"
"446","16356"
"447","16356"
"448","16356"
"449","16341"
"450","16341"
"451","16341"
"452","16341"
"453","16341"
"454","16341"
"455","16341"
"456","16341"
"457","16341"
"458","16341"
"459","16341"
"460","16341"
"461","16341"
"462","16341"
"463","16341"
"464","16341"
"465","16341"
"466","16341"
"467","16341"
"468","16341"
"469","16341"
"470","16341"
"471","16341"
"472","16341"
"473","16341"
"474","16341"
"475","16341"
"476","16341"
"477","16341"
"478","16341"
"479","16341"
"480","16341"
"481","16341"
"482","16341"
"483","16341"
"484","16341"
"485","16341"
"486","16341"
"487","13125"
