"","c.zips8..zips9..zips10..zips11."
"1","10825"
"2","10781"
"3","10965"
"4","12101"
"5","12101"
"6","12101"
"7","12101"
"8","13359"
"9","14129"
"10","12101"
"11","10961"
"12","12047"
"13","12047"
"14","12045"
"15","10965"
"16","10781"
"17","13347"
"18","14199"
"19","12249"
"20","10719"
"21","12349"
"22","14109"
"23","14109"
"24","10713"
"25","10719"
"26","10719"
"27","10707"
"28","10585"
"29","10585"
"30","10585"
"31","12353"
"32","12169"
"33","10557"
"34","13587"
"35","12349"
"36","13587"
"37","10557"
"38","12159"
"39","12169"
"40","10585"
"41","10585"
"42","10585"
"43","10707"
"44","10781"
"45","10719"
"46","13591"
"47","12105"
"48","12347"
"49","14109"
"50","14109"
"51","14109"
"52","13437"
"53","10713"
"54","13587"
"55","10963"
"56","13403"
"57","14167"
"58","10713"
"59","14163"
"60","14163"
"61","14129"
"62","14129"
"63","13435"
"64","14109"
"65","14109"
"66","13465"
"67","14129"
"68","14129"
"69","14129"
"70","14163"
"71","14163"
"72","14167"
"73","14167"
"74","10713"
"75","10711"
"76","10711"
"77","10711"
"78","10711"
"79","10713"
"80","10713"
"81","14109"
"82","10715"
"83","13507"
"84","13507"
"85","13467"
"86","13467"
"87","13467"
"88","13467"
"89","13467"
"90","13467"
"91","16548"
"92","13465"
"93","13465"
"94","13465"
"95","13465"
"96","13465"
"97","13465"
"98","13465"
"99","13465"
"100","13465"
"101","16548"
"102","13465"
"103","13465"
"104","13465"
"105","13465"
"106","13465"
"107","16548"
"108","13467"
"109","13467"
"110","13467"
"111","13467"
"112","13467"
"113","13467"
"114","13507"
"115","13507"
"116","12099"
"117","12203"
"118","12203"
"119","10963"
"120","10963"
"121","10719"
"122","12101"
"123","12101"
"124","10963"
"125","10713"
"126","12247"
"127","13599"
"128","14129"
"129","13505"
"130","13403"
"131","13505"
"132","10713"
"133","10715"
"134","10713"
"135","10961"
"136","12305"
"137","13593"
"138","13403"
"139","10709"
"140","14057"
"141","14057"
"142","13599"
"143","10711"
"144","12163"
"145","12107"
"146","13595"
"147","13627"
"148","13589"
"149","13627"
"150","13405"
"151","13405"
"152","13587"
"153","13403"
"154","13587"
"155","13405"
"156","13403"
"157","13403"
"158","13435"
"159","13435"
"160","13435"
"161","13435"
"162","13435"
"163","13435"
"164","12247"
"165","13435"
"166","13403"
"167","13403"
"168","13405"
"169","10585"
"170","13405"
"171","10585"
"172","13597"
"173","13627"
"174","13627"
"175","12107"
"176","12107"
"177","12247"
"178","12247"
"179","10585"
"180","14057"
"181","14057"
"182","10709"
"183","12351"
"184","14057"
"185","14513"
"186","10555"
"187","13507"
"188","14057"
"189","14129"
"190","14129"
"191","13435"
"192","10711"
"193","12355"
"194","12355"
"195","10713"
"196","13403"
"197","13407"
"198","10713"
"199","10713"
"200","12355"
"201","12355"
"202","12357"
"203","12203"
"204","12107"
"205","12277"
"206","12277"
"207","10559"
"208","10587"
"209","10559"
"210","10559"
"211","10557"
"212","10585"
"213","14057"
"214","14057"
"215","14057"
"216","12351"
"217","12351"
"218","10585"
"219","10713"
"220","10963"
"221","10963"
"222","14169"
"223","14169"
"224","14169"
"225","12101"
"226","10961"
"227","10713"
"228","10963"
"229","14169"
"230","10963"
"231","12203"
"232","13587"
"233","10783"
"234","10963"
"235","10557"
"236","10559"
"237","10559"
"238","13435"
"239","10559"
"240","12099"
"241","10555"
"242","10555"
"243","12163"
"244","14163"
"245","14163"
"246","10963"
"247","10961"
"248","10961"
"249","14089"
"250","12353"
"251","13359"
"252","14612"
"253","13156"
"254","13587"
"255","13158"
"256","13158"
"257","13407"
"258","13158"
"259","13158"
"260","13156"
"261","12203"
"262","13583"
"263","12349"
"264","12349"
"265","13467"
"266","14482"
"267","14482"
"268","14109"
"269","14109"
"270","12103"
"271","14129"
"272","13627"
"273","13591"
"274","13591"
"275","14199"
"276","12109"
"277","12437"
"278","10557"
"279","10557"
"280","12279"
"281","10585"
"282","10587"
"283","10719"
"284","14169"
"285","13581"
"286","13581"
"287","10713"
"288","12161"
"289","13503"
"290","14612"
"291","12159"
"292","12159"
"293","12169"
"294","12105"
"295","12105"
"296","12105"
"297","12105"
"298","12349"
"299","12103"
"300","12103"
"301","12105"
"302","12105"
"303","12105"
"304","12105"
"305","12169"
"306","12159"
"307","12159"
"308","13583"
"309","12349"
"310","12349"
"311","12161"
"312","10713"
"313","10713"
"314","10715"
"315","10719"
"316","13503"
"317","10719"
"318","13507"
"319","13503"
"320","13503"
"321","13503"
"322","13503"
"323","13503"
"324","13503"
