"";"District";"Sub-district"
"1";"Charlottenburg-Wilmersdorf";"Charlottenburg"
"2";"Charlottenburg-Wilmersdorf";"Charlottenburg-Nord"
"3";"Charlottenburg-Wilmersdorf";"Grunewald"
"4";"Charlottenburg-Wilmersdorf";"Halensee"
"5";"Charlottenburg-Wilmersdorf";"Schmargendorf"
"6";"Charlottenburg-Wilmersdorf";"Westend"
"7";"Charlottenburg-Wilmersdorf";"Wilmersdorf"
"8";"Friedrichshain-Kreuzberg";"Friedrichshain"
"9";"Friedrichshain-Kreuzberg";"Kreuzberg"
"10";"Lichtenberg";"Alt-Hohenschoenhausen"
"11";"Lichtenberg";"Falkenberg"
"12";"Lichtenberg";"Fennpfuhl"
"13";"Lichtenberg";"Friedrichsfelde"
"14";"Lichtenberg";"Karlshorst"
"15";"Lichtenberg";"Lichtenberg"
"16";"Lichtenberg";"Malchow"
"17";"Lichtenberg";"Neu-Hohenschoenhausen"
"18";"Lichtenberg";"Rummelsburg"
"19";"Lichtenberg";"Wartenberg"
"20";"Marzahn-Hellersdorf";"Biesdorf"
"21";"Marzahn-Hellersdorf";"Hellersdorf"
"22";"Marzahn-Hellersdorf";"Kaulsdorf"
"23";"Marzahn-Hellersdorf";"Mahlsdorf"
"24";"Marzahn-Hellersdorf";"Marzahn"
"25";"Mitte";"Gesundbrunnen"
"26";"Mitte";"Hansaviertel"
"27";"Mitte";"Mitte"
"28";"Mitte";"Moabit"
"29";"Mitte";"Tiergarten"
"30";"Mitte";"Wedding"
"31";"Neukoelln";"Britz"
"32";"Neukoelln";"Buckow"
"33";"Neukoelln";"Gropiusstadt"
"34";"Neukoelln";"Neukoelln"
"35";"Neukoelln";"Rudow"
"36";"Pankow";"Blankenburg"
"37";"Pankow";"Blankenfelde"
"38";"Pankow";"Buch"
"39";"Pankow";"Franzoesisch-Buchholz"
"40";"Pankow";"Heinersdorf"
"41";"Pankow";"Karow"
"42";"Pankow";"Niederschoenhausen"
"43";"Pankow";"Pankow"
"44";"Pankow";"Prenzlauer-Berg"
"45";"Pankow";"Rosenthal"
"46";"Pankow";"Stadtrandsiedlung-Malchow"
"47";"Pankow";"Weissensee"
"48";"Pankow";"Wilhelmsruh"
"49";"Reinickendorf";"Borsigwalde"
"50";"Reinickendorf";"Frohnau"
"51";"Reinickendorf";"Heiligensee"
"52";"Reinickendorf";"Hermsdorf"
"53";"Reinickendorf";"Konradshoehe"
"54";"Reinickendorf";"Luebars"
"55";"Reinickendorf";"Maerkisches-Viertel"
"56";"Reinickendorf";"Reinickendorf"
"57";"Reinickendorf";"Tegel"
"58";"Reinickendorf";"Waidmannslust"
"59";"Reinickendorf";"Wittenau"
"60";"Spandau";"Falkenhagener-Feld"
"61";"Spandau";"Gatow"
"62";"Spandau";"Hakenfelde"
"63";"Spandau";"Haselhorst"
"64";"Spandau";"Kladow"
"65";"Spandau";"Siemensstadt"
"66";"Spandau";"Spandau"
"67";"Spandau";"Staaken"
"68";"Spandau";"Wilhelmstadt"
"69";"Steglitz-Zehlendorf";"Dahlem"
"70";"Steglitz-Zehlendorf";"Lankwitz"
"71";"Steglitz-Zehlendorf";"Lichterfelde"
"72";"Steglitz-Zehlendorf";"Nikolassee"
"73";"Steglitz-Zehlendorf";"Steglitz"
"74";"Steglitz-Zehlendorf";"Wannsee"
"75";"Steglitz-Zehlendorf";"Zehlendorf"
"76";"Tempelhof-Schoeneberg";"Friedenau"
"77";"Tempelhof-Schoeneberg";"Lichtenrade"
"78";"Tempelhof-Schoeneberg";"Mariendorf"
"79";"Tempelhof-Schoeneberg";"Marienfelde"
"80";"Tempelhof-Schoeneberg";"Schoeneberg"
"81";"Tempelhof-Schoeneberg";"Tempelhof"
"82";"Treptow-Koepenick";"Adlershof"
"83";"Treptow-Koepenick";"Alt-Treptow"
"84";"Treptow-Koepenick";"Altglienicke"
"85";"Treptow-Koepenick";"Baumschulenweg"
"86";"Treptow-Koepenick";"Bohnsdorf"
"87";"Treptow-Koepenick";"Friedrichshagen"
"88";"Treptow-Koepenick";"Gruenau"
"89";"Treptow-Koepenick";"Johannisthal"
"90";"Treptow-Koepenick";"Koepenick"
"91";"Treptow-Koepenick";"Mueggelheim"
"92";"Treptow-Koepenick";"Niederschoeneweide"
"93";"Treptow-Koepenick";"Oberschoeneweide"
"94";"Treptow-Koepenick";"Plaenterwald"
"95";"Treptow-Koepenick";"Rahnsdorf"
"96";"Treptow-Koepenick";"Schmoeckwitz"
