District;Population;District Size;Residential and traffic surface;Agricultural surface;Employed;Unemployed;"Non-professional
persons";Private Households;Persons/Household;Schools;Grades;Puplis;Puplis/K;Residential buildings;Flats;Total living space;Living space per capita;Hotel beds;Tourist guests;Overnight stays;Social Help Recipients;Children in daycare;% Children in daycare under 3;% Children in daycare 3- under 6;Severely handicapped;Severely handicapped per 1000 inhabitants;Companies;Taxable Revenues;Bankruptcies;Street traffic accidents;Housing allowance housholds;Senior Members of Sport Clubs ;Junior Members of Sport Clubs;Sport Clubs
01 Mitte;365.3;3 940;3 796;0;185.4;21.1;158.9;220.1;1.68;72;1 338;32 193;85.2;13 230;196 533;13 242;36.6;56 107;5 421 582;12 865 603;2 229;18 209;44.7;103.2;28 504;78.7;25 674;82 678 046;638;20 038;2185;13.7;42.3;176
02 Friedrichshain-Kreuzberg;275.2;2 040;1 907;0;164.3;10.7;100.2;169.7;1.64;63;1 049;24 884;87.6;9 661;152 006;10 457;38.5;17 516;1 610 860;3 988 440;1 408;14 231;43.7;103.6;17 100;62.9;19 292;18 870 489;379;12 030;2216;8.6;20.3;140
03 Pankow;388.2;10 322;6 904;1 707;225.3;9.4;153.5;222.8;1.77;92;1 571;38 113;94.7;36 993;215 686;15 743;40.2;6 268;476 027;1 381 727;1 717;21 890;50.7;95.1;31 096;79.5;21 437;8 500 262;407;11 988;3161;8.1;25.2;157
04 Charlottenburg-Wilmersdorf;313.3;6 469;4 555;8;151.8;10.3;151.2;184.5;1.72;76;1 270;31 370;92.6;17 928;184 748;14 518;46.2;29 886;2 696 118;6 461 226;1 341;11 200;36.7;91.7;30 900;98.2;27 771;27 062 740;578;19 133;1654;20.1;52;175
05 Spandau;233.5;9 188;5 813;734;101.3;7.6;124.6;120.2;1.95;58;1 009;24 630;101.7;27 963;119 009;8 820;37.5;2 796;261 805;586 401;1 522;9 373;34;80.7;27 990;118.9;7 199;3 765 050;463;8 420;1951;20.5;28.4;180
06 Steglitz-Zehlendorf;288.4;10 256;6 637;25;132.3;6.6;149.5;153.4;1.9;77;1 334;35 014;114;40 621;157 517;13 441;46.3;3 048;201 544;481 872;1 165;11 531;41.4;89.6;31 197;107.5;13 840;6 596 601;331;11 221;1281;16.3;42.2;182
07 Tempelhof-Schöneberg;339.6;5 305;5 157;50;169.5;14.4;155.7;188.1;1.82;66;1 223;30 455;87.3;28 586;181 462;13 604;40.2;8 578;796 219;1 923 831;1 657;14 279;43.3;94.5;35 828;105.9;17 827;14 546 202;484;14 756;1347;9.2;23.4;138
08 Neukölln;321.5;4 493;4 354;52;149.2;19.3;153.1;174;1.86;72;1 285;29 084;88.3;27 982;163 480;11 411;35.9;4 829;392 775;857 192;1 870;12 634;31.8;82.5;33 574;105.6;11 332;6 656 373;565;11 412;2061;7.4;22;97
09 Treptow-Köpenick;252.6;16 773;7 497;118;133.7;6.9;112;139.7;1.81;60;965;23 865;90.1;37 405;140 823;10 278;40;4 178;308 413;696 047;1 225;11 768;45;91.1;25 205;98.1;10 519;9 503 577;402;10 056;2000;14.7;35.8;218
10 Marzahn-Hellersdorf;255.4;6 182;5 815;74;126.8;8.7;119.9;136.2;1.88;55;1 049;24 756;92.8;31 488;136 488;9 751;37.7;1 332;92 433;239 124;1 709;11 769;40.8;82.7;28 004;108.3;7 303;4 190 165;486;6 665;2545;2.9;14.3;77
11 Lichtenberg;274.2;5 212;4 407;575;143;9;122.2;158.6;1.74;58;1 170;26 981;94.3;17 123;153 395;10 079;35.9;5 523;479 695;1 146 599;4 197;13 881;46;91.8;27 624;98.3;7 749;4 133 849;443;7 773;2260;11;19.5;114
12 Reinickendorf;251.6;8 932;5 976;288;108.8;10;132.8;135.8;1.86;68;1 189;29 904;113.4;35 701;131 149;10 137;39.4;2 693;228 876;522 028;1 470;9 762;30.6;82.6;31 966;124.3;9 292;13 211 350;558;9 950;1607;13;32;173
Berlin;3 558.9;89 112;62 818;3 633;1 791.2;133.9;1 633.8;2 002.9;1.8;817;14 452;351 249;94.6;324 681;1 932 296;141 481;39.6;142 754;12 966 347;31 150 090;21 510;160 527;40.3;91.1;348 988;97.6;179 663;199 785 779;5 734;143 442;24268;12.5;29.7;1827
