"","districts","total trees","trees km","total number of dogs","open green space"
"1","Charlottenburg-Wilmersdorf","43137","106",8065,744
"2","Friedrichshain-Kreuzberg","16288","92",4477,291
"3","Lichtenberg","31355","92",8550,939
"4","Marzahn-Hellersdorf","43377","80",10874,1210
"5","Mitte","25540","75",6059,791
"6","Neukölln","20521","60",8362,908
"7","Pankow","43095","72",10766,1341
"8","Reinickendorf","44169","93",10409,998
"9","Spandau","26080","58",9331,1009
"10","Steglitz-Zehlendorf","60731","97",10225,913
"11","Tempelhof-Schöneberg","35071","88",9075,651
"12","Treptow-Köpenick","43573","64",8564,1030
