"","c.zips11."
"1","16792"
"2","16792"
"3","17268"
"4","16247"
"5","16247"
"6","17291"
"7","17291"
"8","17291"
"9","17291"
"10","17291"
"11","17291"
"12","17291"
"13","17291"
"14","17291"
"15","17291"
"16","17291"
"17","17291"
"18","17291"
"19","17291"
"20","17291"
"21","17291"
"22","17291"
"23","17291"
"24","17291"
"25","17291"
"26","17291"
"27","17337"
"28","17337"
"29","17337"
"30","17337"
"31","17337"
"32","17337"
"33","17337"
"34","17337"
"35","17348"
"36","17348"
"37","17348"
"38","17348"
"39","17348"
"40","17291"
"41","17291"
"42","17291"
"43","17291"
"44","17291"
"45","17291"
"46","17291"
"47","17291"
"48","17291"
"49","17291"
"50","17291"
"51","17291"
"52","17291"
"53","17291"
"54","17291"
"55","17291"
"56","17291"
"57","17291"
"58","17291"
"59","17291"
"60","17291"
"61","17291"
"62","17291"
"63","17291"
"64","17291"
"65","17291"
"66","17291"
"67","17291"
"68","17291"
"69","17291"
"70","17291"
"71","17291"
"72","17291"
"73","17291"
"74","17291"
"75","17291"
"76","17291"
"77","17337"
"78","17337"
"79","17337"
"80","17337"
"81","17337"
"82","17337"
"83","17337"
"84","17337"
"85","17337"
"86","17337"
"87","17337"
"88","17337"
"89","17337"
"90","17337"
"91","17337"
"92","17337"
"93","Postcode Not Found"
"94","Postcode Not Found"
"95","17337"
"96","17337"
"97","17337"
"98","17337"
"99","17309"
"100","17309"
"101","17309"
"102","17309"
"103","17291"
"104","17337"
"105","17337"
"106","17337"
"107","Postcode Not Found"
"108","Postcode Not Found"
"109","17337"
"110","17337"
"111","17337"
"112","Postcode Not Found"
"113","Postcode Not Found"
"114","17337"
"115","17337"
"116","17337"
"117","17337"
"118","Postcode Not Found"
"119","Postcode Not Found"
"120","17337"
"121","17337"
"122","Postcode Not Found"
"123","Postcode Not Found"
"124","17335"
"125","17335"
"126","17335"
"127","17335"
"128","17335"
"129","17335"
"130","17335"
"131","17335"
"132","17335"
"133","17291"
"134","17291"
"135","17291"
"136","17291"
"137","17291"
"138","17291"
"139","17291"
"140","17291"
"141","17291"
"142","17291"
"143","17291"
"144","17291"
"145","17291"
"146","17291"
"147","17291"
"148","17291"
"149","17291"
"150","17291"
"151","17291"
"152","17291"
"153","17291"
"154","17291"
"155","17291"
"156","17291"
"157","17291"
"158","17291"
"159","17291"
"160","17291"
"161","17291"
"162","17291"
"163","17291"
"164","17291"
"165","17291"
"166","17291"
"167","17291"
"168","17291"
"169","17291"
"170","17291"
"171","17291"
"172","17291"
"173","Postcode Not Found"
"174","Postcode Not Found"
"175","17291"
"176","17291"
"177","17291"
"178","17291"
"179","17291"
"180","17291"
"181","17291"
"182","17291"
"183","17291"
"184","17291"
"185","17291"
"186","17291"
"187","17291"
"188","17291"
"189","17291"
"190","17291"
"191","17291"
"192","17291"
"193","Postcode Not Found"
"194","17291"
"195","17291"
"196","17291"
"197","17291"
"198","17291"
"199","17291"
"200","17291"
"201","17291"
"202","17291"
"203","17291"
"204","17291"
"205","17291"
"206","17291"
"207","17291"
"208","17291"
"209","17291"
"210","17291"
"211","17291"
"212","17291"
"213","17291"
"214","17291"
"215","17291"
"216","17291"
"217","17291"
"218","17291"
"219","17291"
"220","17291"
"221","17291"
"222","17291"
"223","17291"
"224","17291"
"225","17291"
"226","17291"
"227","17291"
"228","17291"
"229","17291"
"230","17291"
"231","17291"
"232","17291"
"233","17291"
"234","17291"
"235","17291"
"236","17291"
"237","17291"
"238","17291"
"239","17291"
"240","17291"
"241","17291"
"242","17335"
"243","17335"
"244","17291"
"245","17291"
"246","17291"
"247","17291"
"248","17291"
"249","17291"
"250","17291"
"251","17291"
"252","17291"
"253","17291"
"254","17291"
"255","17291"
"256","17291"
"257","17291"
"258","17291"
"259","17291"
"260","17309"
"261","17291"
"262","17291"
"263","17291"
"264","17291"
"265","17291"
"266","17291"
"267","17291"
"268","17291"
"269","17291"
"270","17291"
"271","17291"
"272","17291"
"273","17291"
"274","17291"
"275","17291"
"276","17291"
"277","17291"
"278","17291"
"279","17291"
"280","17291"
"281","17291"
"282","17291"
"283","17291"
"284","17291"
"285","17291"
"286","17291"
"287","17291"
"288","17291"
"289","17326"
"290","17326"
"291","17326"
"292","17326"
"293","17326"
"294","17326"
"295","17326"
"296","17326"
"297","17326"
"298","17322"
"299","17321"
"300","17321"
"301","17321"
"302","17321"
"303","17321"
"304","17291"
"305","17321"
"306","17326"
"307","17326"
"308","17326"
"309","17326"
"310","17326"
"311","17291"
"312","17291"
"313","17326"
"314","17291"
"315","17291"
"316","17291"
"317","17291"
"318","17291"
"319","17291"
"320","17291"
"321","17291"
"322","17291"
"323","17291"
"324","17291"
"325","17291"
"326","17291"
"327","17291"
"328","17291"
"329","17291"
"330","17291"
"331","17291"
"332","17291"
"333","17291"
"334","17291"
"335","17291"
"336","17291"
"337","17291"
"338","17291"
"339","17291"
"340","17326"
"341","17326"
"342","17326"
"343","17326"
"344","17326"
"345","17326"
"346","17322"
"347","17322"
"348","17326"
"349","17326"
"350","17326"
"351","17326"
"352","17326"
"353","17326"
"354","17326"
"355","17326"
"356","17326"
"357","17326"
"358","17326"
"359","17326"
"360","17326"
"361","17326"
"362","17326"
"363","17291"
"364","17291"
"365","17291"
"366","17291"
"367","17291"
"368","17291"
"369","17291"
"370","17291"
"371","17291"
"372","17291"
"373","17291"
"374","17291"
"375","17291"
"376","17291"
"377","17291"
"378","17291"
"379","17291"
"380","17291"
"381","17291"
"382","17291"
"383","17291"
"384","17291"
"385","17291"
"386","17291"
"387","17291"
"388","17291"
"389","17291"
"390","17291"
"391","17291"
"392","17291"
"393","17291"
"394","17291"
"395","17291"
"396","17291"
"397","17291"
"398","17291"
"399","17291"
"400","17291"
"401","17291"
"402","Postcode Not Found"
"403","17291"
"404","17291"
"405","17291"
"406","17291"
"407","17291"
"408","17291"
"409","17291"
"410","17291"
"411","17291"
"412","17291"
"413","17291"
"414","17291"
"415","17291"
"416","17291"
"417","17291"
"418","17291"
"419","17291"
"420","17291"
"421","17291"
"422","17291"
"423","17291"
"424","17291"
"425","17291"
"426","17291"
"427","17291"
"428","17291"
"429","17291"
"430","17291"
"431","17291"
"432","17291"
"433","17291"
"434","17291"
"435","17291"
"436","17291"
"437","17291"
"438","17291"
"439","17291"
"440","17291"
"441","17291"
"442","17291"
"443","17291"
"444","17291"
"445","17291"
"446","17291"
"447","17291"
"448","17291"
"449","Postcode Not Found"
"450","Postcode Not Found"
"451","17291"
"452","17291"
"453","Postcode Not Found"
"454","17291"
"455","Postcode Not Found"
"456","Postcode Not Found"
"457","Postcode Not Found"
"458","Postcode Not Found"
"459","17291"
"460","17291"
"461","17291"
"462","17291"
"463","17291"
"464","17291"
"465","17291"
"466","Postcode Not Found"
"467","17291"
"468","17291"
"469","17291"
"470","17291"
"471","17291"
"472","17291"
"473","17291"
"474","17291"
"475","17291"
"476","17291"
"477","17291"
"478","17291"
"479","17291"
"480","17291"
"481","17291"
"482","17291"
"483","17291"
"484","17291"
"485","17291"
"486","17291"
"487","17291"
"488","17291"
"489","17291"
"490","17291"
"491","17291"
"492","17291"
"493","17291"
"494","17291"
"495","17291"
"496","17291"
"497","17291"
"498","17291"
"499","17291"
"500","17291"
"501","17291"
"502","17291"
"503","17291"
"504","17291"
"505","17291"
"506","17291"
"507","17291"
"508","17291"
"509","17291"
"510","17291"
"511","17291"
"512","17291"
"513","17291"
"514","17291"
"515","17291"
"516","17291"
"517","17291"
"518","17291"
"519","17291"
"520","17291"
"521","17291"
"522","17291"
"523","17291"
"524","17291"
"525","17291"
"526","17291"
"527","17291"
"528","16225"
"529","16225"
"530","16225"
"531","16225"
"532","16225"
"533","16230"
"534","16230"
"535","16230"
"536","16230"
"537","16230"
"538","16230"
"539","16230"
"540","16230"
"541","16248"
"542","16248"
"543","16248"
"544","16248"
"545","16248"
"546","16248"
"547","16248"
"548","16248"
"549","16248"
"550","16248"
"551","16248"
"552","16248"
"553","16248"
"554","16248"
"555","16248"
"556","16248"
"557","16248"
"558","16248"
"559","16248"
"560","16248"
"561","16259"
"562","16248"
"563","16248"
"564","16303"
"565","16303"
"566","16303"
"567","16303"
"568","16303"
"569","16303"
"570","16303"
"571","16303"
"572","16303"
"573","16303"
"574","16303"
"575","16303"
"576","16303"
"577","16303"
"578","16303"
"579","16303"
"580","16303"
"581","16303"
"582","16303"
"583","16303"
"584","16303"
"585","16303"
"586","16303"
"587","16303"
"588","16303"
"589","16303"
"590","16303"
"591","16303"
"592","16303"
"593","16303"
"594","16303"
"595","16303"
"596","16303"
"597","16303"
"598","16303"
"599","16303"
"600","16303"
"601","16303"
"602","16303"
"603","16303"
"604","16303"
"605","16303"
"606","16303"
"607","74-506"
"608","74-506"
"609","16303"
"610","16303"
"611","16303"
"612","16303"
"613","16303"
"614","16303"
"615","16303"
"616","16303"
"617","16303"
"618","16278"
"619","16278"
"620","16278"
"621","16303"
"622","16303"
"623","16303"
"624","16303"
"625","16303"
"626","16303"
"627","16278"
"628","16278"
"629","16278"
"630","16278"
"631","16278"
"632","16278"
"633","16278"
"634","16278"
"635","16278"
"636","16278"
"637","16278"
"638","16278"
"639","16278"
"640","16278"
"641","16278"
"642","16278"
"643","16278"
"644","16278"
"645","16278"
"646","16278"
"647","16278"
"648","16278"
"649","16278"
"650","16278"
"651","16278"
"652","16278"
"653","16278"
"654","16278"
"655","16278"
"656","16278"
"657","16278"
"658","16278"
"659","16278"
"660","16278"
"661","16278"
"662","16278"
"663","16278"
"664","16278"
"665","16278"
"666","16278"
"667","Postcode Not Found"
"668","16303"
"669","16303"
"670","16303"
"671","16303"
"672","16303"
"673","16303"
"674","16303"
"675","16303"
"676","16303"
"677","16303"
"678","16303"
"679","16303"
"680","Postcode Not Found"
"681","Postcode Not Found"
"682","16278"
"683","16278"
"684","16303"
"685","16303"
"686","16278"
"687","16278"
"688","16278"
"689","16278"
"690","16278"
"691","16278"
"692","16278"
"693","16278"
"694","16278"
"695","16278"
"696","16303"
"697","16303"
"698","16303"
"699","16303"
"700","16303"
"701","16303"
"702","16303"
"703","16303"
"704","16303"
"705","16303"
"706","16303"
"707","16303"
"708","Postcode Not Found"
"709","Postcode Not Found"
"710","16278"
"711","16278"
"712","16278"
"713","16278"
"714","16278"
"715","16278"
"716","16278"
"717","16278"
"718","16278"
"719","16278"
"720","16278"
"721","16278"
"722","Postcode Not Found"
"723","Postcode Not Found"
"724","Postcode Not Found"
"725","Postcode Not Found"
"726","16278"
"727","16278"
"728","16278"
"729","16278"
"730","16278"
"731","16278"
"732","16278"
"733","16278"
"734","16278"
"735","16278"
"736","16278"
"737","16278"
"738","16278"
"739","16278"
"740","16278"
"741","16278"
"742","16278"
"743","16303"
"744","16303"
"745","16303"
"746","16278"
"747","16278"
"748","16278"
"749","16303"
"750","16303"
"751","16303"
"752","16303"
"753","16303"
"754","16303"
"755","16278"
"756","16278"
"757","16303"
"758","16303"
"759","16303"
"760","16303"
"761","16303"
"762","16303"
"763","16306"
"764","16306"
"765","16303"
"766","16303"
"767","16303"
"768","16303"
"769","16306"
"770","16306"
"771","16306"
"772","16306"
"773","16306"
"774","16306"
"775","16306"
"776","16306"
"777","16306"
"778","16306"
"779","16306"
"780","16306"
"781","16306"
"782","16306"
"783","16303"
"784","16303"
"785","16278"
"786","16278"
"787","Postcode Not Found"
"788","17291"
"789","17291"
"790","17291"
"791","17291"
"792","16278"
"793","16278"
"794","16278"
"795","16278"
"796","16278"
"797","16278"
"798","16278"
"799","16278"
"800","16278"
"801","16278"
"802","16278"
"803","16278"
"804","16278"
"805","16278"
"806","16278"
"807","16278"
"808","16278"
"809","16278"
"810","16278"
"811","16278"
"812","16278"
"813","16278"
"814","16278"
"815","16278"
"816","16278"
"817","16278"
"818","16303"
"819","16303"
"820","16278"
"821","16278"
"822","16306"
"823","16303"
"824","16303"
"825","16303"
"826","16303"
